id,count_point_id,aadf_year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
7904,7904,2025,7,123,M25,TM,Major,LA Boundary,27,549300,198760,51.66778824,0.15751989,8.9,5.5
7911,7911,2025,7,128,A13,TA,Major,A126,A13,560000,179800,51.49450545,0.303483,1.9,1.2
7934,7934,2025,6,109,A3214,PA,Major,B302,A3213,528600,178600,51.4917304,-0.14899903,0.9,0.6
7961,7961,2021,7,123,M11,TM,Major,LA Boundary,5,543019,193826,51.62508507,0.06474604,4.1,2.5
7969,7969,2015,6,66,A3113,PA,Major,M25 Junction 4,A3044,504000,175400,51.46802248,-0.5041414,1.3,0.8
7978,7978,2025,9,135,A245,PA,Major,Station Approach,Bull Hill,516350,156770,51.29817506,-0.3325148,0.2,0.1
8024,8024,2025,9,80,M20,TM,Major,2,2,561000,159631,51.31301622,0.30872904,2.1,1.3
8049,8049,2025,6,66,A4125,PA,Major,A404,LA Boundary,510004,191753,51.61387135,-0.41263183,1.2,0.7
8064,8064,2025,6,122,A102,PA,Major,A106,A107,536000,185157,51.54892325,-0.03994269,1.6,1.0
8081,8081,2025,6,110,A3220,PA,Major,A3218,A4,525553,178555,51.4920101,-0.19288132,0.7,0.4
8083,8083,2025,6,109,A41,PA,Major,A41,A5205,527410,182550,51.52749831,-0.16470398,0.7,0.4
8087,8087,2025,6,118,A4089,PA,Major,A404,A479,519000,186160,51.5617761,-0.28465926,1.5,0.9
8090,8090,2025,6,66,A437,PA,Major,A4020,A40,507593,183748,51.54238532,-0.44988974,2.2,1.4
8095,8095,2025,6,103,A2198,PA,Major,A2,A2205,533000,179520,51.49898128,-0.08531083,0.8,0.5
8105,8105,2025,9,80,A226,PA,Major,A226 West Hill,A2026,554000,174320,51.44693385,0.21473521,0.5,0.3
8167,8167,2025,6,176,A233,PA,Major,"Churchill Way, Biggin Hill",Downe Road,541540,162000,51.33947581,0.03065243,3.6,2.2
8182,8182,2025,6,107,A23,PA,Major,A3202,A3036/A3200 roundabout,531020,179530,51.49953308,-0.11381554,0.5,0.3
8280,8280,2025,6,66,M4,TM,Major,4,A408,507489,178674,51.49679905,-0.45293525,0.2,0.1
8281,8281,2025,6,178,A308,PA,Major,A2043,A238,518945,169413,51.4112721,-0.29108966,0.2,0.1
8282,8282,2025,6,134,A232,PA,Major,A212,A222,533000,165435,51.37240405,-0.09059636,0.5,0.3
8284,8284,2016,6,93,A1202,PA,Major,A1203,Cable Street,534160,180760,51.50985044,-0.06813774,0.2,0.1
8285,8285,2025,6,96,A5203,PA,Major,A5200,Caledonian Rd,530453,183299,51.5335354,-0.12058511,0.3,0.2
8291,8291,2025,7,78,A411,PA,Major,Upton Rd,A411 Beechen Grove,510836,196609,51.65735435,-0.3990831,0.2,0.1
8352,8352,2025,6,104,A2,PA,Major,A20,A20,536600,176940,51.47493825,-0.03447721,0.1,0.1
8354,8354,2025,6,107,A3205,PA,Major,A3036,A203,530267,177824,51.48437541,-0.12528678,0.2,0.1
8357,8357,2025,6,108,A205,PA,Major,A3,A205 The Avenue,528000,175030,51.45978294,-0.15892833,0.5,0.3
8359,8359,2025,6,108,A3220,PA,Major,A3220 Battersea Bridge Rd,A3031,527500,176700,51.47490397,-0.16552014,0.3,0.2
8375,8375,2025,6,104,A205,PA,Major,A205,A21,537800,173760,51.44607098,-0.01844782,0.2,0.1
