id,count_point_id,year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
19853,6773,2022,6,134,A215,PA,Major,A232,A222,535000,166160,51.37844730,-0.06160475,0.9,0.6,Estimated,Estimated using AADF from previous year on this link,143,510,16726,291,3751,354,42,65,21,17,14,513,21792
19879,6774,2022,6,108,A217,PA,Major,A24,A3,526600,172000,51.43286601,-0.18015223,4.2,2.6,Counted,Manual count,833,1072,14295,827,2770,398,45,31,5,7,4,489,19454
19905,6777,2022,6,146,A219,PA,Major,A304,A308,524370,176150,51.47065687,-0.21075868,0.3,0.2,Estimated,Estimated using AADF from previous year on this link,1468,1698,16097,1116,4890,390,88,47,22,12,17,576,24377
19931,6778,2022,6,106,A220,PA,Major,A221,A206,550242,177014,51.47214803,0.16184174,3.4,2.1,Estimated,Estimated using AADF from previous year on this link,48,95,8049,190,1840,212,43,35,21,54,38,404,10577
19957,6779,2022,6,106,A221,PA,Major,A222,A210,547370,174000,51.44582064,0.11926530,1.1,0.7,Estimated,Estimated using AADF from previous year on this link,22,198,13077,84,2788,144,33,10,3,1,0,191,16338
19983,6780,2022,6,106,A222,PA,Major,A2001,A211,546170,171600,51.42456590,0.10101981,0.3,0.2,Estimated,Estimated using AADF from previous year on this link,56,209,13404,750,1987,159,36,11,15,14,8,243,16594
20009,6782,2022,6,134,A222,PA,Major,A212,A222 Cherry Orchard Rd,533000,166400,51.38107635,-0.09023572,1.0,0.6,Estimated,Estimated using AADF from previous year on this link,358,693,15185,140,3111,320,21,2,1,0,5,348,19477
20035,6783,2022,6,106,A223,PA,Major,A211 Maidstone Rd,A2018,548600,172000,51.42752877,0.13611252,3.3,2.1,Counted,Automatic counter,165,155,16061,68,3858,184,38,135,19,13,12,403,20544
20061,6785,2022,6,176,A224,PA,Major,A232,A223,546900,166000,51.37405929,0.10919603,1.2,0.7,Estimated,Estimated using AADF from previous year on this link,60,109,12814,38,2742,192,41,27,3,17,10,289,15993
20087,6786,2022,9,80,A225,PA,Major,B2174,A226,554070,173700,51.44134389,0.21547228,0.5,0.3,Estimated,Estimated using AADF from previous year on this link,86,66,8593,106,1528,61,7,7,1,4,4,84,10378
